"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"76","OCOH - Antiandrogens","41477238","OMOP2675200","10000 MG Gonadorelin 0.00002 MG/MG Nasal Spray","Quant Clinical Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41476599","OMOP2674561","10000 MG Gonadorelin 0.00002 MG/MG Nasal Spray Box of 100","Quant Clinical Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41478365","OMOP2676327","10000 MG Gonadorelin 0.00002 MG/MG Nasal Spray [Kryptocur]","Quant Branded Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41477049","OMOP2675011","10000 MG Gonadorelin 0.00002 MG/MG Nasal Spray [Kryptocur] Box of 100","Quant Branded Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41477021","OMOP2674983","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray","Quant Clinical Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41476768","OMOP2674730","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray Box of 2","Quant Clinical Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41478215","OMOP2676177","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray Box of 4","Quant Clinical Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41478550","OMOP2676512","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur]","Quant Branded Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41477340","OMOP2675302","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] Box of 2","Quant Branded Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41478290","OMOP2676252","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] Box of 2 by Emra-Med","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41478412","OMOP2676374","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] Box of 2 by Kohlpharma","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41477881","OMOP2675843","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] Box of 2 by Sanofi","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41478269","OMOP2676231","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] Box of 4","Quant Branded Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41476697","OMOP2674659","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] Box of 4 by Eurim-Pharm","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","37594156","OMOP4783582","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] by Beragena","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41477727","OMOP2675689","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] by Cc","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41477208","OMOP2675170","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] by Emra-Med","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41478401","OMOP2676363","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] by Eurim-Pharm","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41478151","OMOP2676113","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] by Gerke","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41477726","OMOP2675688","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] by Kohlpharma","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41476846","OMOP2674808","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] by Mtk","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41477489","OMOP2675451","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] by Orifarm Leverkus","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41478562","OMOP2676524","10000 MG Gonadorelin 0.0021 MG/MG Nasal Spray [Kryptocur] by Sanofi","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43735887","OMOP783997","10000 MG Gonadorelin 0.0021 MG/MG Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43843936","OMOP783998","10000 MG Gonadorelin 0.0021 MG/MG Oral Solution Box of 2","Quant Clinical Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43735888","OMOP783999","10000 MG Gonadorelin 0.0021 MG/MG Oral Solution [Kryptocur]","Quant Branded Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43825876","OMOP784002","10000 MG Gonadorelin 0.0021 MG/MG Oral Solution [Kryptocur] Box of 2","Quant Branded Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43825877","OMOP784003","10000 MG Gonadorelin 0.0021 MG/MG Oral Solution [Kryptocur] Box of 2 by Sanofi","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43681978","OMOP784000","10000 MG Gonadorelin 0.0021 MG/MG Oral Solution [Kryptocur] by Sanofi","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43805557","OMOP733743","1000 MG Gonadorelin 0.0021 MG/MG Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43859935","OMOP733744","1000 MG Gonadorelin 0.0021 MG/MG Oral Solution [Kryptocur]","Quant Branded Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43769621","OMOP733745","1000 MG Gonadorelin 0.0021 MG/MG Oral Solution [Kryptocur] by Sanofi","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","35131806","OMOP4789041","1000 MG Spironolactone 0.1 MG/MG Oral Granules","Quant Clinical Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","35143610","OMOP4800710","1000 MG Spironolactone 0.1 MG/MG Oral Granules [Aldactone]","Quant Branded Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","35149903","OMOP4806957","1000 MG Spironolactone 0.1 MG/MG Oral Granules [Merlactone]","Quant Branded Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","36053079","OMOP4978201","100 ML spironolactone 5 MG/ML Oral Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41372690","OMOP2570652","10 ML Gonadorelin 0.08 MG/ML Injectable Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41365124","OMOP2563086","10 ML Gonadorelin 0.08 MG/ML Injectable Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41370008","OMOP2567970","10 ML Gonadorelin 0.08 MG/ML Injectable Solution [LUTRELEF]","Quant Branded Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41366195","OMOP2564157","10 ML Gonadorelin 0.08 MG/ML Injectable Solution [LUTRELEF] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41366457","OMOP2564419","10 ML Gonadorelin 0.08 MG/ML Injectable Solution [LUTRELEF] Box of 1 by Ferring","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43826138","OMOP783987","10 ML Gonadorelin 0.32 MG/ML Injectable Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41368883","OMOP2566845","10 ML Gonadorelin 0.32 MG/ML Injectable Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43628155","OMOP783988","10 ML Gonadorelin 0.32 MG/ML Injectable Solution Box of 3","Quant Clinical Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43700293","OMOP783989","10 ML Gonadorelin 0.32 MG/ML Injectable Solution Box of 5","Quant Clinical Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41370007","OMOP2567969","10 ML Gonadorelin 0.32 MG/ML Injectable Solution [LUTRELEF]","Quant Branded Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41373034","OMOP2570996","10 ML Gonadorelin 0.32 MG/ML Injectable Solution [LUTRELEF] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","41370256","OMOP2568218","10 ML Gonadorelin 0.32 MG/ML Injectable Solution [LUTRELEF] Box of 1 by Ferring","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43041213","OMOP4856243","10 ML Gonadorelin 0.32 MG/ML Injectable Solution [LUTRELEF] by Ferring","Marketed Product","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43862406","OMOP783991","10 ML Gonadorelin 0.32 MG/ML Injectable Solution [Lutrepulse]","Quant Branded Drug","Drug","RxNorm Extension"
"76","OCOH - Antiandrogens","43718015","OMOP783993","10 ML Gonadorelin 0.32 MG/ML Injectable Solution [Lutrepulse] Box of 3","Quant Branded Box","Drug","RxNorm Extension"
