"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"75","OCOH - Estradiol","43719773","OMOP820376","0.09 ML Estradiol 17 MG/ML Topical Spray","Quant Clinical Drug","Drug","RxNorm Extension"
"75","OCOH - Estradiol","43684017","OMOP820377","0.09 ML Estradiol 17 MG/ML Topical Spray [Lenzetto]","Quant Branded Drug","Drug","RxNorm Extension"
"75","OCOH - Estradiol","43737894","OMOP820378","0.09 ML Estradiol 17 MG/ML Topical Spray [Lenzetto] by Gedeon Richter","Marketed Product","Drug","RxNorm Extension"
"75","OCOH - Estradiol","44210454","OMOP3087177","100000 MG Estradiol 0.00005 MG/MG Topical Ointment","Quant Clinical Drug","Drug","RxNorm Extension"
"75","OCOH - Estradiol","44210349","OMOP3087072","100000 MG Estradiol 0.00005 MG/MG Topical Ointment Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"75","OCOH - Estradiol","44210361","OMOP3087084","100000 MG Estradiol 0.00005 MG/MG Topical Ointment [Farmacyrol]","Quant Branded Drug","Drug","RxNorm Extension"
"75","OCOH - Estradiol","44210465","OMOP3087188","100000 MG Estradiol 0.00005 MG/MG Topical Ointment [Farmacyrol] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"75","OCOH - Estradiol","44210512","OMOP3087235","100000 MG Estradiol 0.00005 MG/MG Topical Ointment [Farmacyrol] Box of 1 by Beyvers","Marketed Product","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41515168","OMOP2713130","100000 MG Estradiol 0.00005 MG/MG Vaginal Ointment","Quant Clinical Drug","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41515550","OMOP2713512","100000 MG Estradiol 0.00005 MG/MG Vaginal Ointment Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41516070","OMOP2714032","100000 MG Estradiol 0.00005 MG/MG Vaginal Ointment [Farmacyrol]","Quant Branded Drug","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41512856","OMOP2710818","100000 MG Estradiol 0.00005 MG/MG Vaginal Ointment [Farmacyrol] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41515814","OMOP2713776","100000 MG Estradiol 0.00005 MG/MG Vaginal Ointment [Farmacyrol] Box of 1 by Beyvers","Marketed Product","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41516277","OMOP2714239","100000 MG Estradiol 0.0001 MG/MG / linoleate 0.00455 MG/MG Vaginal Gel","Quant Clinical Drug","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41512718","OMOP2710680","100000 MG Estradiol 0.0001 MG/MG / linoleate 0.00455 MG/MG Vaginal Gel Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41515338","OMOP2713300","100000 MG Estradiol 0.0001 MG/MG / linoleate 0.00455 MG/MG Vaginal Gel [Linoladiol]","Quant Branded Drug","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41515337","OMOP2713299","100000 MG Estradiol 0.0001 MG/MG / linoleate 0.00455 MG/MG Vaginal Gel [Linoladiol] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41515549","OMOP2713511","100000 MG Estradiol 0.0001 MG/MG Vaginal Gel","Quant Clinical Drug","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41514065","OMOP2712027","100000 MG Estradiol 0.0001 MG/MG Vaginal Gel Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41512163","OMOP2710125","100000 MG Estradiol 0.0001 MG/MG Vaginal Gel [Linoladiol]","Quant Branded Drug","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41511465","OMOP2709427","100000 MG Estradiol 0.0001 MG/MG Vaginal Gel [Linoladiol] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"75","OCOH - Estradiol","41515469","OMOP2713431","100000 MG Estradiol 0.0001 MG/MG Vaginal Gel [Linoladiol] Box of 1 by Wolff Bielefeld","Marketed Product","Drug","RxNorm Extension"
