"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"74","OCOH - Estrogen","41339951","OMOP2537913","2 ML Estrogens 40 MG/ML / Mepivacaine 2.5 MG/ML / Niacinamide 32 MG/ML Injectable Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"74","OCOH - Estrogen","41345203","OMOP2543165","2 ML Estrogens 40 MG/ML / Mepivacaine 2.5 MG/ML / Niacinamide 32 MG/ML Injectable Solution Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"74","OCOH - Estrogen","41338320","OMOP2536282","2 ML Estrogens 40 MG/ML / Mepivacaine 2.5 MG/ML / Niacinamide 32 MG/ML Injectable Solution Box of 5","Quant Clinical Box","Drug","RxNorm Extension"
"74","OCOH - Estrogen","41345944","OMOP2543906","2 ML Estrogens 40 MG/ML / Mepivacaine 2.5 MG/ML / Niacinamide 32 MG/ML Injectable Solution [Triodurin]","Quant Branded Drug","Drug","RxNorm Extension"
"74","OCOH - Estrogen","41343833","OMOP2541795","2 ML Estrogens 40 MG/ML / Mepivacaine 2.5 MG/ML / Niacinamide 32 MG/ML Injectable Solution [Triodurin] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"74","OCOH - Estrogen","41340676","OMOP2538638","2 ML Estrogens 40 MG/ML / Mepivacaine 2.5 MG/ML / Niacinamide 32 MG/ML Injectable Solution [Triodurin] Box of 5","Quant Branded Box","Drug","RxNorm Extension"
"74","OCOH - Estrogen","19049228","4100","estrogens","Ingredient","Drug","RxNorm"
"74","OCOH - Estrogen","2043808","OMOP4943803","estrogens 0.000625 MG/MG","Clinical Drug Comp","Drug","RxNorm Extension"
"74","OCOH - Estrogen","2043807","OMOP4943802","estrogens 0.000625 MG/MG [Premarin]","Branded Drug Comp","Drug","RxNorm Extension"
"74","OCOH - Estrogen","2043804","OMOP4943799","estrogens 0.3 MG","Clinical Drug Comp","Drug","RxNorm Extension"
"74","OCOH - Estrogen","2043802","OMOP4943797","estrogens 0.3 MG Oral Tablet","Clinical Drug","Drug","RxNorm Extension"
"74","OCOH - Estrogen","2043801","OMOP4943796","estrogens 0.3 MG Oral Tablet [Premarin]","Branded Drug","Drug","RxNorm Extension"
"74","OCOH - Estrogen","2043800","OMOP4943795","estrogens 0.3 MG Oral Tablet [Premarin] by Wyeth","Marketed Product","Drug","RxNorm Extension"
"74","OCOH - Estrogen","2043803","OMOP4943798","estrogens 0.3 MG [Premarin]","Branded Drug Comp","Drug","RxNorm Extension"
"74","OCOH - Estrogen","35855129","OMOP5011703","estrogens 0.45 MG","Clinical Drug Comp","Drug","RxNorm Extension"
"74","OCOH - Estrogen","35855128","OMOP5011702","estrogens 0.45 MG Oral Tablet","Clinical Drug","Drug","RxNorm Extension"
"74","OCOH - Estrogen","19049262","336665","estrogens 0.625 MG","Clinical Drug Comp","Drug","RxNorm"
"74","OCOH - Estrogen","35855126","OMOP5011700","estrogens 0.625 MG Oral Tablet","Clinical Drug","Drug","RxNorm Extension"
"74","OCOH - Estrogen","1636802","242895","estrogens 0.625 MG / testosterone 1.25 MG Oral Tablet","Clinical Drug","Drug","RxNorm"
"74","OCOH - Estrogen","35855127","OMOP5011701","estrogens 0.625 MG Topical Ointment","Clinical Drug","Drug","RxNorm Extension"
"74","OCOH - Estrogen","19049261","315883","estrogens 2 MG/ML","Clinical Drug Comp","Drug","RxNorm"
"74","OCOH - Estrogen","19080740","315093","estrogens 2 MG/ML Injectable Solution","Clinical Drug","Drug","RxNorm"
"74","OCOH - Estrogen","19077081","310195","estrogens 2 MG/ML Injectable Suspension","Clinical Drug","Drug","RxNorm"
"74","OCOH - Estrogen","40857714","OMOP2055676","Estrogens 40 MG/ML","Clinical Drug Comp","Drug","RxNorm Extension"
"74","OCOH - Estrogen","41022114","OMOP2220076","Estrogens 40 MG/ML / Mepivacaine 2.5 MG/ML / Niacinamide 32 MG/ML Injectable Solution","Clinical Drug","Drug","RxNorm Extension"
