"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"78","OCOH - Medroxyprogesterone","42621097","OMOP2800963","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","21069740","OMOP287673","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446200","OMOP2644162","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe Box of 6","Quant Clinical Box","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446174","OMOP2644136","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana]","Quant Branded Drug","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446187","OMOP2644149","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446189","OMOP2644151","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 1 by Aca Mueller","Marketed Product","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446198","OMOP2644160","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 1 by Axicorp","Marketed Product","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446188","OMOP2644150","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 1 by BR","Marketed Product","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446167","OMOP2644129","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 1 by Cc","Marketed Product","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446193","OMOP2644155","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 1 by Emra-Med","Marketed Product","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446211","OMOP2644173","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 1 by Eurim-Pharm","Marketed Product","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446210","OMOP2644172","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 1 by Gerke","Marketed Product","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446209","OMOP2644171","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 1 by Kohlpharma","Marketed Product","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446208","OMOP2644170","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 1 by Orifarm Leverkus","Marketed Product","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446192","OMOP2644154","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 1 by Pfizer","Marketed Product","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446186","OMOP2644148","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 6","Quant Branded Box","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446201","OMOP2644163","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 6 by Cc","Marketed Product","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446191","OMOP2644153","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 6 by Eurim-Pharm","Marketed Product","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","41446166","OMOP2644128","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] Box of 6 by Pfizer","Marketed Product","Drug","RxNorm Extension"
"78","OCOH - Medroxyprogesterone","21158136","OMOP287676","0.65 ML Medroxyprogesterone 150 MG/ML Prefilled Syringe [Sayana] by Pfizer","Marketed Product","Drug","RxNorm Extension"
