"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"79","OCOH - Norethindrone","43298496","OMOP572807","{10 (Estradiol 2 MG / Norethindrone 1 MG Oral Tablet) / 12 (Estradiol 2 MG Oral Tablet) / 6 (estradiol valerate 1 MG Oral Tablet) } Pack","Clinical Pack","Drug","RxNorm Extension"
"79","OCOH - Norethindrone","40664921","OMOP4754397","{10 (Estradiol 2 MG / Norethindrone 1 MG Oral Tablet) / 12 (Estradiol 2 MG Oral Tablet) / 6 (estradiol valerate 1 MG Oral Tablet) } Pack box of 3","Clinical Pack Box","Drug","RxNorm Extension"
"79","OCOH - Norethindrone","21177836","OMOP339998","{10 (Estradiol 2 MG / Norethindrone 1 MG Oral Tablet) / 12 (Estradiol 2 MG Oral Tablet) / 6 (estradiol valerate 1 MG Oral Tablet) } Pack [Trisequens]","Branded Pack","Drug","RxNorm Extension"
"79","OCOH - Norethindrone","40664922","OMOP4754396","{10 (Estradiol 2 MG / Norethindrone 1 MG Oral Tablet) / 12 (Estradiol 2 MG Oral Tablet) / 6 (estradiol valerate 1 MG Oral Tablet) } Pack [Trisequens] box of 3","Branded Pack Box","Drug","RxNorm Extension"
"79","OCOH - Norethindrone","40665014","OMOP4754395","{10 (Estradiol 2 MG / Norethindrone 1 MG Oral Tablet) / 12 (Estradiol 2 MG Oral Tablet) / 6 (estradiol valerate 1 MG Oral Tablet) } Pack [Trisequens] box of 3 by Novo Nordisk","Marketed Product","Drug","RxNorm Extension"
"79","OCOH - Norethindrone","21178210","OMOP340152","{10 (Estradiol 2 MG / Norethindrone 1 MG Oral Tablet) / 12 (Estradiol 2 MG Oral Tablet) / 6 (estradiol valerate 1 MG Oral Tablet) } Pack [Trisequens] by Dowelhurst","Marketed Product","Drug","RxNorm Extension"
"79","OCOH - Norethindrone","21178102","OMOP339802","{10 (Estradiol 2 MG / Norethindrone 1 MG Oral Tablet) / 12 (Estradiol 2 MG Oral Tablet) / 6 (estradiol valerate 1 MG Oral Tablet) } Pack [Trisequens] by Novo Nordisk","Marketed Product","Drug","RxNorm Extension"
"79","OCOH - Norethindrone","21177924","OMOP339614","{10 (Estradiol 2 MG / Norethindrone 1 MG Oral Tablet) / 12 (Estradiol 2 MG Oral Tablet) / 6 (estradiol valerate 1 MG Oral Tablet) } Pack [Trisequens] by Waymade","Marketed Product","Drug","RxNorm Extension"
"79","OCOH - Norethindrone","42731639","OMOP2736866","{10 (Estradiol 4 MG / Norethindrone 1 MG Oral Tablet) / 12 (Estradiol 4 MG Oral Tablet) / 6 (estradiol valerate 1 MG Oral Tablet) } Pack","Clinical Pack","Drug","RxNorm Extension"
"79","OCOH - Norethindrone","40664923","OMOP4754389","{10 (Estradiol 4 MG / Norethindrone 1 MG Oral Tablet) / 12 (Estradiol 4 MG Oral Tablet) / 6 (estradiol valerate 1 MG Oral Tablet) } Pack box of 3","Clinical Pack Box","Drug","RxNorm Extension"
