"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"77","OCOH - Progesterone","43812630","OMOP852522","0.3 ML Progesterone 100 MG/ML Injectable Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"77","OCOH - Progesterone","43614600","OMOP852523","0.3 ML Progesterone 100 MG/ML Injectable Solution [Prolutex]","Quant Branded Drug","Drug","RxNorm Extension"
"77","OCOH - Progesterone","43812631","OMOP852524","0.3 ML Progesterone 100 MG/ML Injectable Solution [Prolutex] by Ibsa","Marketed Product","Drug","RxNorm Extension"
"77","OCOH - Progesterone","41513100","OMOP2711062","100000 MG Progesterone 0.0001 MG/MG Vaginal Gel","Quant Clinical Drug","Drug","RxNorm Extension"
"77","OCOH - Progesterone","41514797","OMOP2712759","100000 MG Progesterone 0.0001 MG/MG Vaginal Gel Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"77","OCOH - Progesterone","41512062","OMOP2710024","100000 MG Progesterone 0.0001 MG/MG Vaginal Gel Box of 2","Quant Clinical Box","Drug","RxNorm Extension"
"77","OCOH - Progesterone","41511161","OMOP2709123","100000 MG Progesterone 0.0001 MG/MG Vaginal Gel [PROGESTOGEL]","Quant Branded Drug","Drug","RxNorm Extension"
"77","OCOH - Progesterone","41511739","OMOP2709701","100000 MG Progesterone 0.0001 MG/MG Vaginal Gel [PROGESTOGEL] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
"77","OCOH - Progesterone","41512240","OMOP2710202","100000 MG Progesterone 0.0001 MG/MG Vaginal Gel [PROGESTOGEL] Box of 2","Quant Branded Box","Drug","RxNorm Extension"
"77","OCOH - Progesterone","43612826","OMOP827632","100000 MG Progesterone 0.01 MG/MG Vaginal Gel","Quant Clinical Drug","Drug","RxNorm Extension"
"77","OCOH - Progesterone","41512351","OMOP2710313","100000 MG Progesterone 0.01 MG/MG Vaginal Gel Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"77","OCOH - Progesterone","41512350","OMOP2710312","100000 MG Progesterone 0.01 MG/MG Vaginal Gel Box of 10","Quant Clinical Box","Drug","RxNorm Extension"
"77","OCOH - Progesterone","43738837","OMOP827634","100000 MG Progesterone 0.01 MG/MG Vaginal Gel Box of 100","Quant Clinical Box","Drug","RxNorm Extension"
