"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"80","OCOH - Puberty blockers","1351705","752899","0.25 ML leuprolide acetate 30 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm"
"80","OCOH - Puberty blockers","1351747","825334","0.25 ML leuprolide acetate 30 MG/ML Prefilled Syringe [Eligard]","Quant Branded Drug","Drug","RxNorm"
"80","OCOH - Puberty blockers","43596692","OMOP853184","0.33 ML Leuprolide 30 MG/ML Injectable Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"80","OCOH - Puberty blockers","43722603","OMOP853185","0.33 ML Leuprolide 30 MG/ML Injectable Solution [Eligard]","Quant Branded Drug","Drug","RxNorm Extension"
"80","OCOH - Puberty blockers","43632795","OMOP853187","0.33 ML Leuprolide 30 MG/ML Injectable Solution [Eligard] by Astellas","Marketed Product","Drug","RxNorm Extension"
"80","OCOH - Puberty blockers","1351702","752884","0.375 ML leuprolide acetate 120 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm"
"80","OCOH - Puberty blockers","1351745","825325","0.375 ML leuprolide acetate 120 MG/ML Prefilled Syringe [Eligard]","Quant Branded Drug","Drug","RxNorm"
"80","OCOH - Puberty blockers","1146746","2371773","0.375 ML leuprolide acetate 120 MG/ML Prefilled Syringe [Fensolvi]","Quant Branded Drug","Drug","RxNorm"
"80","OCOH - Puberty blockers","1351704","752894","0.375 ML leuprolide acetate 60 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm"
"80","OCOH - Puberty blockers","1351748","825335","0.375 ML leuprolide acetate 60 MG/ML Prefilled Syringe [Eligard]","Quant Branded Drug","Drug","RxNorm"
"80","OCOH - Puberty blockers","43669025","OMOP854297","0.44 ML Leuprolide 60 MG/ML Injectable Solution","Quant Clinical Drug","Drug","RxNorm Extension"
"80","OCOH - Puberty blockers","43632927","OMOP854298","0.44 ML Leuprolide 60 MG/ML Injectable Solution [Eligard]","Quant Branded Drug","Drug","RxNorm Extension"
"80","OCOH - Puberty blockers","43867058","OMOP854299","0.44 ML Leuprolide 60 MG/ML Injectable Solution [Eligard] by Astellas","Marketed Product","Drug","RxNorm Extension"
"80","OCOH - Puberty blockers","1351703","752889","0.5 ML leuprolide acetate 60 MG/ML Prefilled Syringe","Quant Clinical Drug","Drug","RxNorm"
"80","OCOH - Puberty blockers","1351746","825333","0.5 ML leuprolide acetate 60 MG/ML Prefilled Syringe [Eligard]","Quant Branded Drug","Drug","RxNorm"
"80","OCOH - Puberty blockers","44785904","1488616","{1 (1.5 ML leuprolide acetate 7.5 MG/ML Prefilled Syringe) / 90 (norethindrone acetate 5 MG Oral Tablet) } Pack","Clinical Pack","Drug","RxNorm"
"80","OCOH - Puberty blockers","44785903","1488617","{1 (1.5 ML leuprolide acetate 7.5 MG/ML Prefilled Syringe [Lupron]) / 90 (norethindrone acetate 5 MG Oral Tablet) } Pack [Lupaneta Pack 3-Month]","Branded Pack","Drug","RxNorm"
"80","OCOH - Puberty blockers","44785906","1488618","{1 (1 ML leuprolide acetate 3.75 MG/ML Prefilled Syringe) / 30 (norethindrone acetate 5 MG Oral Tablet) } Pack","Clinical Pack","Drug","RxNorm"
"80","OCOH - Puberty blockers","44785905","1488619","{1 (1 ML leuprolide acetate 3.75 MG/ML Prefilled Syringe [Lupron]) / 30 (norethindrone acetate 5 MG Oral Tablet) } Pack [Lupaneta Pack 1-Month]","Branded Pack","Drug","RxNorm"
"80","OCOH - Puberty blockers","35415151","OMOP1148736","130 MG Leuprolide 0.0846 MG/MG Injectable Suspension","Quant Clinical Drug","Drug","RxNorm Extension"
"80","OCOH - Puberty blockers","35415150","OMOP1148735","130 MG Leuprolide 0.0846 MG/MG Injectable Suspension Box of 1","Quant Clinical Box","Drug","RxNorm Extension"
"80","OCOH - Puberty blockers","35415148","OMOP1148733","130 MG Leuprolide 0.0846 MG/MG Injectable Suspension [ENANTONE]","Quant Branded Drug","Drug","RxNorm Extension"
"80","OCOH - Puberty blockers","35415145","OMOP1148730","130 MG Leuprolide 0.0846 MG/MG Injectable Suspension [ENANTONE] Box of 1","Quant Branded Box","Drug","RxNorm Extension"
