"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"71","OCOH - Testosterone","35202016","2099689","0.5 ML testosterone enanthate 100 MG/ML Auto-Injector","Quant Clinical Drug","Drug","RxNorm"
"71","OCOH - Testosterone","35202017","2099691","0.5 ML testosterone enanthate 100 MG/ML Auto-Injector [Xyosted]","Quant Branded Drug","Drug","RxNorm"
"71","OCOH - Testosterone","35202018","2099695","0.5 ML testosterone enanthate 150 MG/ML Auto-Injector","Quant Clinical Drug","Drug","RxNorm"
"71","OCOH - Testosterone","35202019","2099697","0.5 ML testosterone enanthate 150 MG/ML Auto-Injector [Xyosted]","Quant Branded Drug","Drug","RxNorm"
"71","OCOH - Testosterone","35202014","2099681","0.5 ML testosterone enanthate 200 MG/ML Auto-Injector","Quant Clinical Drug","Drug","RxNorm"
"71","OCOH - Testosterone","35202015","2099686","0.5 ML testosterone enanthate 200 MG/ML Auto-Injector [Xyosted]","Quant Branded Drug","Drug","RxNorm"
"71","OCOH - Testosterone","21147594","OMOP324128","100000 MG Testosterone 0.01 MG/MG Topical Ointment","Quant Clinical Drug","Drug","RxNorm Extension"
"71","OCOH - Testosterone","21177127","OMOP324131","100000 MG Testosterone 0.02 MG/MG Topical Ointment","Quant Clinical Drug","Drug","RxNorm Extension"
"71","OCOH - Testosterone","40703852","OMOP4753105","100000 MG Testosterone 0.02 MG/MG Topical Ointment","Quant Clinical Drug","Drug","RxNorm Extension"
"71","OCOH - Testosterone","43044373","OMOP4859381","1000 MG Testosterone 0.0162 MG/MG Topical Gel","Quant Clinical Drug","Drug","RxNorm Extension"
"71","OCOH - Testosterone","43044374","OMOP4859382","1000 MG Testosterone 0.0162 MG/MG Topical Gel [Androgel]","Quant Branded Drug","Drug","RxNorm Extension"
"71","OCOH - Testosterone","43044375","OMOP4859383","1000 MG Testosterone 0.0162 MG/MG Topical Gel [Androgel] by Besins","Marketed Product","Drug","RxNorm Extension"
"71","OCOH - Testosterone","36412565","OMOP3104607","1000 MG Testosterone 0.01 MG/MG Topical Cream","Quant Clinical Drug","Drug","RxNorm Extension"
"71","OCOH - Testosterone","21155610","OMOP299384","1000 MG Testosterone 0.01 MG/MG Topical Ointment","Quant Clinical Drug","Drug","RxNorm Extension"
"71","OCOH - Testosterone","36808727","OMOP4822769","1000 MG Testosterone 0.025 MG/MG Topical Gel","Quant Clinical Drug","Drug","RxNorm Extension"
"71","OCOH - Testosterone","35789952","OMOP2791413","1000 MG Testosterone 0.025 MG/MG Vaginal Gel","Quant Clinical Drug","Drug","RxNorm Extension"
"71","OCOH - Testosterone","21096593","OMOP299386","1000 MG Testosterone 0.02 MG/MG Topical Ointment","Quant Clinical Drug","Drug","RxNorm Extension"
"71","OCOH - Testosterone","40708622","OMOP4749054","1000 MG Testosterone 0.02 MG/MG Topical Ointment","Quant Clinical Drug","Drug","RxNorm Extension"
"71","OCOH - Testosterone","43841634","OMOP724577","1000 MG Testosterone 0.02 MG/MG Vaginal Gel","Quant Clinical Drug","Drug","RxNorm Extension"
"71","OCOH - Testosterone","43823524","OMOP724578","1000 MG Testosterone 0.02 MG/MG Vaginal Gel [Tostran]","Quant Branded Drug","Drug","RxNorm Extension"
"71","OCOH - Testosterone","43841635","OMOP724579","1000 MG Testosterone 0.02 MG/MG Vaginal Gel [Tostran] by ProStrakan","Marketed Product","Drug","RxNorm Extension"
