"Concept Set ID","Name","Concept ID","Concept Code","Concept Name","Concept Class ID","Domain","Vocabulary"
"82","OCOH - Facial reconstruction; forehead","2102254","14041","Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10.1 sq cm to 30.0 sq cm","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2102253","14040","Adjacent tissue transfer or rearrangement, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; defect 10 sq cm or less","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","4234179","439115008","Contouring of forehead","Procedure","Procedure","SNOMED"
"82","OCOH - Facial reconstruction; forehead","4234317","439301002","Contouring of forehead for reduction and application of prosthetic material","Procedure","Procedure","SNOMED"
"82","OCOH - Facial reconstruction; forehead","4234162","440590002","Contouring of forehead for reduction and setback of anterior frontal sinus wall","Procedure","Procedure","SNOMED"
"82","OCOH - Facial reconstruction; forehead","2102397","15620","Delay of flap or sectioning of flap (division and inset); at forehead, cheeks, chin, neck, axillae, genitalia, hands, or feet","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","37311664","789171004","Endoscopic forehead and brow lift","Procedure","Procedure","SNOMED"
"82","OCOH - Facial reconstruction; forehead","2102400","15731","Forehead flap with preservation of vascular pedicle (eg, axial pattern flap, paramedian forehead flap)","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2102393","15574","Formation of direct or tubed pedicle, with or without transfer; forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands or feet","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2102333","15240","Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; 20 sq cm or less","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2102334","15241","Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2103138","21175","Reconstruction, bifrontal, superior-lateral orbital rims and lower forehead, advancement or alteration (eg, plagiocephaly, trigonocephaly, brachycephaly), with or without grafts (includes obtaining autografts)","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2103140","21180","Reconstruction, entire or majority of forehead and/or supraorbital rims; with autograft (includes obtaining grafts)","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2103139","21179","Reconstruction, entire or majority of forehead and/or supraorbital rims; with grafts (allograft or prosthetic material)","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2103137","21172","Reconstruction superior-lateral orbital rim and lower forehead, advancement or alteration, with or without grafts (includes obtaining autografts)","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2103113","21138","Reduction forehead; contouring and application of prosthetic material or bone graft (includes obtaining autograft)","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2103114","21139","Reduction forehead; contouring and setback of anterior frontal sinus wall","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2103112","21137","Reduction forehead; contouring only","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2102221","13131","Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 1.1 cm to 2.5 cm","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2102232","13132","Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; 2.6 cm to 7.5 cm","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2102233","13133","Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet; each additional 5 cm or less (List separately in addition to code for primary procedure)","CPT4","Procedure","CPT4"
"82","OCOH - Facial reconstruction; forehead","2102461","15824","Rhytidectomy; forehead","CPT4","Procedure","CPT4"
